,question1,question2,is_duplicate
4174,아날로그 감성 카메라 샀어,필름 카메라 샀어,0
4175,아내한테 만족해?,아내한테 만족해?,0
4176,아놔 동생이 약점 잡고 늘어지네 ,동생한테 약점 잡혔어,0
4177,아놔 왜 이러지,요즘 나 왜 이러지,0
4178,아놔 코 막혀,코 막혀,0
4179,아닌 척 하면서 나 싫어해,티 안 나게 나 싫어해,0
4180,아닌건 아니다,아무것도 아닌 글에 화가 치밀어 오르네,1
4181,아련하게 조금씩 잊게 되나보네,아무것도 안되네,1
4182,아름다운 이별은 없겠지,아름다운 이별은 없겠지,0
4183,아름다운 이별은 없는걸까 ㅠ,아무도 안 놀아줘,1
4184,아름답게 잊혀지길,아름답게 잊혀지길,0
4185,아마 평생 모르겠지.,내마음 평생 모르겠지.,0
4186,아메리카노 한 잔,진한 커피 한잔,0
4187,아무 것도 하기 싫어,하고 싶은 게 없어,0
4188,아무 것도 할 수 없는,아무리 기다려도 이젠 안돌아오나봐,1
4189,아무 생각 없이 쉬고 싶다,쉬는 날에는 쉬고 싶다,0
4190,아무 생각이 안든다.,머릿속이 하얘졌어,0
4191,아무것도 아닌 일이 될 수 있을까,아무리 매달려도,1
4192,아무것도 하기 싫어,아무리 생각 안하려 해도,1
4193,아무도 모르게 있고 싶어,조용히 있고 싶어,0
4194,아무도 없어,혼자가 편해,0
4195,아무래도 우울증 걸린 거 같아,우울증 걸린 거 같아,0
4196,아무래도 전공을 잘못 골랐나봐,전공 잘못 골랐나봐,0
4197,아무래도 탈모왔나봐,탈모인가,0
4198,아무래도 헤어져야 할까 봐,아무일도 없었던 것처럼 살고 싶어,1
4199,아무리 꽉 붙들어도 무너지는건 한순간,아이디 생각 안나,1
4200,아무리 눈치 없어도 좋아하는 티 내면 알아채나요?,눈치 없는 편인데 좋아하는 티 내면 알아채나요?,0
4201,아무리 미친놈 욕을해도,아직 멀었나봐,1
4202,아무리 바빠도 연락을 해야하는 거 아냐?,아무리 바빠도 연락을 해야하는 거 아냐?,0
4203,아무리 열심히 해도 타고난 사람은 못 따라가겠지?,아무리 열심히 해도 선천적인 건 못 따라가겠지?,0
4204,아무리 지쳐도 집에 가면 있는 내편,아무리 지쳐도 집에 가면 있는 내편,0
4205,"아무리 힘들어도, 밥은 먹히더라구",아직 준비가 안됐는데.,1
4206,아무말이나 막했어,말조심해야지,0
4207,아부 잘 하는 사람 부러워,아부도 기술인가봐,0
4208,아부쟁이가 부러워,아부 잘 하는 사람 부럽기도 해,0
4209,아빠 술 좀 끊으라고 해줘,아빠가 술 너무 많이 먹어,0
4210,아빠가 담배 끊었으면 좋겠어,아빠가 담배 그만 피웠으면,0
4211,아빠가 술 좀 끊었으면,아빠가 술 좀 그만 먹었으면,0
4212,아예 일찍 출근하면 되겠지.,아예 일찍 출근해야지,0
4213,아오 그놈에 꿈,아직도 그대로인걸,1
4214,아울렛 쇼핑 재밌다.,아울렛 가서 쇼핑하고 옴,0
4215,아이고 소리가 절로 나온다,먹고 살기 힘들다,0
4216,아이고 의미 없다.,의미 없어,0
4217,아이고 추워라,추워,0
4218,아이공 허리 아파라,허리 아파,0
4219,아이돌 오빠들 좋아,아이돌 너무 좋아,0
4220,아이돌이 남친이면 좋을텐데,내 남자친구 아이돌이면 좋겠다.,0
4221,아이돌이 여친이면 좋겠다.,내 여자친구 아이돌이야,0
4222,아이디 생각 안나,셀프웨딩이 유행이래,1
4223,아이라이너 그리기 귀찮은데 문신할까?,아이라이너 문신 해볼까,0
4224,아이스크림 너무 비싸,아이스크림이 오랜만에 사먹는데 너무 비싸,0
4225,아직 결혼은 못할 거 같은데 동거해도 될까?,아직 결혼은 못할 거 같은데 동거해도 될까?,0
4226,아직 그리운 그대,아직도 꿈같고 너무 괴로워,1
4227,아직 노후 준비는 이르지?,노후 걱정할 나이는 아닌데,0
4228,아직 마음을 모르겠는데 고백해도 돼?,아직 확신 없는데 고백해도 돼?,0
4229,아직 많이 부족한가,내가 많이 부족한가,0
4230,아직 사귀지도 않는데 의심을 해.,혼자 썸타는 기분이야.,1
4231,아직 아주 많이 사랑하는데 나는 말야,아직도 너무 힙듭니다.,1
4232,아직 장난인 것 같아,장난스러운 사이,0
4233,아직 좋아하는데 헤어지자고 하는 경우 있어?,혼자 좋아하는 것 같아,1
4234,아직도 가슴이 아프고 눈물이 나네,아직도 눈물 나,0
4235,아직도 공부할 게 많아,또 공부해야돼,0
4236,아직도 기억 속에 생생한데,아직도 멍청하네,1
4237,아직도 남았나봐,아직도 이별중인가봅니다.,1
4238,아직도 널 감싸는 내가 싫다.,아직도 잊지 못하는 사람,1
4239,아직도 많이 죽을것같아,아직도 잊혀지지 않아,1
4240,아직도 모르는게 너무 많은 것같아,나 모르는게 왜 이렇게 많지,0
4241,아직도 사랑하는 거 같아,나만 좋아하는 것 같아,1
4242,아직도 심장이 뛰고있어.,아직도 헷갈리네,1
4243,아직도 잊지 못하나봐,아직도. 아직 인가보다.,0
4244,아직도 잊지 못했는가봐,아직은 아닌것 같은데,1
4245,아직도 잊지 못했던 거니,아침이 젤 힘드네,1
4246,아직도 적응이 안되네,아침부터 답답하네,1
4247,아직도 좋아하는 사람이 있는데.,혼자 좋아하는 이야기 들어볼래요?,1
4248,아직도 힘들지만.,아침에 눈 뜨는게 힘들어,1
4249,아침 꼭꼭 먹어야지,아침 챙겨 먹어야지,0
4250,아침 등교할때 버스정류장에서 항상 마주치는 짝녀에게 말 걸어보고싶어.,혼자 좋아하는 이야기.,1
4251,아침 먹었니,밥 먹었니,0
4252,아침 일찍 일어나 조깅하고 있어,요즘 조깅하고 있어,0
4253,아침마다 왜 이러는지,아침부터 또 눈물이 나네,0
4254,아침밥 먹을 시간 없어서 굶었더니 배고파,아침밥 못 먹었더니 배고파,0
4255,아침에 들을 노래 뭐가 좋을까,아침에 들을 노래 추천해줘,0
4256,아침에 벌떡 일어났네.,아프다,1
4257,아침에 일어나는 거 힘들다,아침에 일어나는 거 힘들다,0
4258,아침에 일어나면 물 한 잔 마시기,물 한 잔 마시기,0
4259,아침에 일찍 일어나서 뭔가 해야겠어.,아침에 일어나서 뭔가 해보려고,0
4260,아파,아파서 어떡해,0
4261,아파,아픈 상처,0
4262,아파트로 이사 가고 싶다.,아파트에서 살고 싶다,0
4263,아프고 또 아프지만,아프네,0
4264,아프고 힘드네,아픈데 연락하기 싫어,1
4265,아프니까 더생각나고 힘드네,아픔은 덜해지는것 같은데 미련은 더욱 많아지네,1
4266,아프면 안 되는데,올해도 건강하길,0
4267,"아프지 않은 이별은 없지만, 헤어지는게 답인 관계는 있더군.",아픔을 지니고 사랑한다는 것,1
4268,아픈 첫사랑,아휴~ 싱숭생숭한 하루,1
4269,아픔도 이제 안녕,안 맞는다면서 헤어진 우리,1
4270,아픔은 빨리 잊혀지는법,안녕하세요,1
4271,아휴.,알고보니 환승이별 인것 같아,1
4272,안 끝나,아직도 안 끝났어,0
4273,안 데려다 줬어,데려다 주지도 않고,0
4274,안 돌아올거 아는데,앞으로 힘든 시간 될것같습니자,1
4275,안 좋아하는 법 좀 알려줘.,혼자 좋아하는게 이렇게 힘든 적은 처음이에요.,1
4276,안 좋아하는데 계속 만나는 거 가능?,혼자가 편하다는 짝남에게 먼저 대쉬해버림.,1
4277,안경 말고 렌즈 껴야겠어,안경 바꿔야지,0
4278,안경 벗으니까 완전 예뻤어,안경 벗고 완전 훈녀,0
4279,안경 벗으니까 훈훈하더라,안경 벗었는데 완전 훈남,0
4280,안경 벗으면 나으려나,안경 안 어울리는 거 같아,0
4281,안경 빼니까 예뻐보여,안경 빼니까 다른 사람,0
4282,안경 쓰는 남자애 좋아하는 남자 있어?,혼자가 편하다는 짝녀에게 들이댔음.,1
4283,안경 쓰는 여자애 좋아하는 남자 있어?,혼자만 설레고 혼자서 끝내는 짝사랑 그만할래.,1
4284,안경 안꼈는데 아무도 몰라,안경 벗었는데 차이가 없어ㅋㅋ,0
4285,안경테 바꾸면 인상이 바뀔까,안경테 바꿀까봐,0
4286,안경테 바꿔야되는데,안경테 뭐로 바꿀까,0
4287,안나가고 뒹굴거리고 싶어,아무것도 안하고 집에서 뒹굴거리고 싶어,0
4288,안녕안녕,안녕하세요,0
4289,안녕을 고하며,애를 나혼자 키우는 것 같아,1
4290,안뇽,안녕,0
4291,안될거 같아,아무리 해도 안돼,0
4292,안주 추천 좀,안주 뭐 먹을까?,0
4293,안친한데 연락해도 될까?,건너건너 아는 사람인데 연락해도 될까?,0
4294,알고보니 나만 바보네,야,1
4295,알뜰폰 괜찮을까,알뜰폰 어때?,0
4296,알뜰폰 샀어,알뜰폰으로 바꿨어,0
4297,알바 같이 하는 사람 좋아,알바하는데 같이 일하는 사람 좋아져,0
4298,알바 구해볼까,부업할까?,0
4299,알바 생각보다 힘들다.,알바하기 힘들다,0
4300,알바 집 알바 집 이게 뭐냐,알바만 하고 살고 있어,0
4301,알바 하나 더 구해야겠어,투잡할까?,0
4302,알바구함,알바하고 싶어,0
4303,알바하면서 썸 많이 타?,화이트데이에 고백할까요?,1
4304,알수가 없네.,야구 경기 보러 꼭 함께 가자던 그 남자,1
4305,알아들은 척했는데 모르겠어,못 알아들었어,0
4306,앞머리 내릴까봐,앞머리 내릴까봐,0
4307,앞머리 다시 길러볼까,앞머리 길러볼까,0
4308,앞머리 만들까?,앞머리 내릴까?,0
4309,앞으로 뭐 해먹고 사냐,미래에 대한 고민,0
4310,앞으로 뭐하고 살지,뭐하고 살지,0
4311,앞으로 조심해야겠다.,조심조심,0
4312,앞으로 짝남 안봐야지.,화장 안했는데 썸남이 영통 걸었어. 어떡해?,1
4313,앞이 캄캄합니다ㅠ,약 올라,1
4314,애기 안 갖고 싶어,애기 일찍 갖는 게 좋을까?,1
4315,애기 언제 가질 거냐고 왜 묻는 거지?,확실히 좋아하는 데도 관심 있는거 티 안내려고 선톡 안하고 일부러 늦게 보내고 그러는 사람도 있어요?,1
4316,애기가 밥을 안 먹어,애기가 밥을 너무 안 먹어,0
4317,애니 좋아하는 남자 별로임?,애니 좋아하는 남자 별로임?,0
4318,애니 좋아하는 사람 별로야?,애니 좋아하는 사람 별로야?,0
4319,애들 총회에 왜 나를 오라고 하냐,애들 총회 가야겠죠?,0
4320,애들이 썸 타냐고 물어봐,사람들이 썸 타냐고 물어봐,0
4321,애를 나혼자 키우는 것 같아,혼자 해야 돼,1
4322,애매모호한 썸 그냥 끝낼까?,애매모호한 썸 그냥 끝낼까?,0
4323,애매한 관계같아.,관계가 애매해,0
4324,애버랜드 가고 싶어,놀이동산 가고 싶어,0
4325,애완동물 키우고 싶은데 아빠가 못 키우게 해,애완동물 키우고 싶은데 아빠가 키우지 말래,0
4326,애인이 생겼답니다.,양가 부모가 원하지 않는다면,1
4327,애정운 궁금하다,갑자기 올 해 애정운이 궁금하다,0
4328,애프터까지 왔는데 연락이 뜸해.,애프터까지 왔는데 연락이 뜸해.,0
4329,야,응,1
4330,야 너!,양다리? 어장관리?,1
4331,야경 보고 싶다,야경 보러 가고 싶다,0
4332,야구장 고고,야구장이나 갈까,0
4333,야근할 줄 모르고 약속 잡았어,약속 있는데 야근이네,0
4334,야식 먹고 싶어.엉엉,야식 먹을까 말까,0
4335,야이 겁나게 미운 여자야!!,어느덧 이별 5주차,1
4336,약 먹었더니 졸려,약 기운에 졸음이 몰려왔어,0
4337,약 챙겨 먹어야지,약 먹고 나아야지,0
4338,약 한달 전 헤어진 그에게,어느덧 헤어진지도 4개월이 됐네,1
4339,약간 나혼자 썸타는 듯.,약간 나혼자 썸타는 듯.,0
4340,약속 끝나고 짝남에게 집에 데려달라고하면 오해하려나?,짝남에게 집에 데려달라고하면 쫌 그런가?,0
4341,약속 끝나고 짝녀를 집에 데려다주면 너무 티나려나?,짝녀를 집에 데려다주면 너무 티나려나?,0
4342,약속을 계속 미루는 썸남,썸이라고 생각했는데 약속을 계속 미루니까 속상하다,0
4343,양궁카페 갔다옴,양궁카페 갔다옴,0
4344,양다리,어느새 한달인데,1
4345,양말 구멍 난거 지금 봄,양말 구멍 났다,0
4346,양배추즙 최악,양배추즙 맛없어,0
4347,양심이 콕콕,양심에 찔려,0
4348,양초 선물 받았어,양키캔들 선물받았어,0
4349,얘는 싸우기만 하면 연락이 안돼,어디까지 가야 끝이보일지,1
4350,어느덧 한달.,어디서부터 어떻게 얘기를 해야할지.,1
4351,어느새 나이가 30이네.,어떡해,1
4352,어느새 헤어진지 한달,"어떤 날도, 어떤 말도",1
4353,어둠아 끝나라,어둠의끝,0
4354,어둠에서 나와야 할 듯,이제 어둠에서 나오려고 해,0
4355,어디론가 훌쩍 떠나고 싶다,어떤 마음이었을까?,1
4356,어디서 맛난 냄새가 나는데,맛있는 냄새나,0
4357,어디서부터 잘못된 걸까,뭐가 잘못된 걸까,0
4358,어딘가 떠나고 싶다.,놀러가고싶다!,0
4359,어떡하지,어떤 작별일지,1
4360,어떡해야 될가?,어떻게 맘정리를 할까?,0
4361,어떤 남자애가 나 내일 뭐하냐는데 뭐라하지?,나 내일 뭐하냐는데 뭐라하지?,0
4362,어떤 남자애가 내일 뭐하냐는데 나한테 관심있나?,내일 뭐하냐는데 나한테 관심있나?,0
4363,어떤 놈인지 확인하고 싶으면 이상한가,어떻게 살아가야 할까,1
4364,어떤 마음인걸까,어떻게 하면좋을까,1
4365,어떤 사람 꿈 꾸고 나서 호감 생겼어.,꿈에 나오고 나서 호감 생겼어.,0
4366,어떤 사람 만나야해?,어떤 사람 만나면 좋을까?,0
4367,어떤 사람을 만나는 게 좋을까?,어떤 사람을 만나는 게 좋을까?,0
4368,어떤 사람이 춥다고 나만 옷 벗어줌.,어떤 사람이 춥다고 나만 웃옷 벗어줌.,0
4369,어떤 사람이랑 사랑하고 싶어?,어떤 사람이랑 사랑하면 행복할까?,0
4370,어떤 여자가 나한테 끼 부려,어떤 여자가 나한테 끼 부려,0
4371,어떤 연애 하고 싶어?,어떤 연애 하고 싶어?,0
4372,어떨때 사랑하는구나 알아?,어떨때 사랑하는구나 알아?,0
4373,어떨때 연인이 변했다고 생각해?,어떨때 연인이 변했다고 생각해?,0
4374,어떻게 나한테 이러지,어떻게 해야 여자친구가 제 진심을 알아줄까,1
4375,어떻게 벌주어야 할까.,어떻게 해야 할까?,1
4376,어떻게 서류에서부터 계속 떨어져,나 서류에서 광탈했어,0
4377,어떻게 심쿵하게 하지?,심쿵하게 하려면 어떻해야 하지?,0
4378,어떻게 여러 명을 좋아할 수 있어?,여러 명을 다 좋아한다는거 이상해?,0
4379,어떻게 오래만나지?,오래 만나고 싶은데 비결은?,0
4380,어떻게 용기를 내,용기를 내야 되는데,0
4381,어떻게 프로포즈 하지?,프로포즈 잘 하는 방법?,0
4382,어떻게 하면 나를 좋아하게 만들지,나 좋아하게 만들고 싶다,0
4383,어떻게 하면 좋을까?,내마음을 모르겠어.,1
4384,어떻게 하면 좋을까.,어떻게!,0
4385,어떻게 하면 호감형이 될까,사람의 마음을 얻는게 어려워,0
4386,어떻게 해야 마음을 돌릴 수 있나,어떻게 받아들여야 할까?,1
4387,어떻게 해야 오래 만날 수 있을까?,어떻게 해야 오래 만날 수 있을까?,0
4388,어떻게 해야 하는 거니,어떻해야 할까,0
4389,어떻게 해야돼?,어렵네,1
4390,어떻게 헤어져야 할지 모르겠어,어이 없는 헤어짐,1
4391,어떻게해 늦잠 잤어,오늘 또 늦잠잤어,0
4392,어떻하죠? 이 상황을,"어제 결국 또 톡보내버렸네,",1
4393,어려 보이고 싶어,어려지고 싶어,0
4394,어려운일,어제 꿈에나온너.,1
4395,어른이 된다는 건 뭘까,어른이 된다는 것,0
4396,어리석은 나,어제 만났어,1
4397,어린 시절로 돌아가고 싶어,어렸을때로 돌아가고 싶어,0
4398,어린이집 입학식 가야겠지,어린이집 입학식 꼭 참석해야하나?,0
4399,어릴땐 누군가를 참 쉽게 좋아했는데 지금은 어려워.,어릴땐 누군가를 참 쉽게 좋아했는데 지금은 어려워.,0
4400,어이가 없네,어이상실,0
4401,어이가 없어서,어이없어,0
4402,"어이없는연애? 끝난걸까, 진행중일까.",어제 새벽에 그녀에게 전화가왔습니다,1
4403,어장관리 당한 걸 알게 됐어.,어장관리 당한 걸 알게 됐어.,0
4404,어장이면 어떡해,어장이면 슬플 거 같아,0
4405,어장인거 알게 됐는데 포기해야겠지.,어장인거 알게 됐는데 포기해야겠지.,0
4406,어장인거 알겠는데 포기가 안돼.,어장인거 아는데도 좋아해.,0
4407,어장인건가,어장인건가,0
4408,어제 그녀를 또 보았어.,어제 연락 왔는데 또 상처줘서 또 헤어졌어ㅠ,1
4409,어제 동창회 갔는데 나 걔랑 썸 타는 것 같애.,동창회 갔다가 만난 애랑 썸 타는 것 같애.,0
4410,어제 만났네.,어제 연락햇는데ㅋㅋ,1
4411,어제 밤 샜어,밤 샜어,0
4412,어제 비 오는 창가를 바라보다 문득 니 생각났어,어제 이별 했습니다.,1
4413,어제 새벽에 이별했어.,어제 이별을 했습니다,0
4414,어제 술마시고 나서 기억 안나,술 먹고 필름 끊겼어,0
4415,어제 연락이 왔어. 제가 매달려서 온거같아,"어제 이별했고, 잡고 싶은데",1
4416,어제 오늘 멘탈이 나갔네,어제 정말로 완전히 보냈습니다,1
4417,어제 이별을 했는데 진짜.어이가없네.,어제 헤어졌어,1
4418,어제 이별하고 맘이 너무 아파,어제 헤어진 여자친구 연락 왔다고 글 썼는데 ㅋㅋ,1
4419,어제 정말 사랑한 그녀와 헤어졌습니다.,어제가 극에 달했었는데,1
4420,어제 짝남이랑 꿈에서 놀았는데 다시 꾸고 싶다.,어제 짝남이랑 꿈에서 놀았는데 다시 꾸고 싶다.,0
4421,어제 짝남이랑 놀았는데 꿈같다.,어제 짝남이랑 놀았는데 꿈같다.,0
4422,어제 짝남한테 너무 차갑게 말한 것 같아.,어제 짝남한테 너무 차갑게 말한 것 같아.,0
4423,어제 짝녀랑 데이트했는데 꿈만 같습니다.,짝사랑만 하다가 어제 드디어 데이트했는데 꿈만 같습니다.,0
4424,어제 짝녀한테 너무 차갑게 말한 듯.,어제 짝녀한테 너무 차갑게 말한 듯.,0
4425,어제 헤어졌습니다,어제는 그녀의 결혼식.,1
4426,어제 헤어지자했어.,어제 결국 이별,0
4427,어제 헤어진 여친 학교 다녀 왔어.,어젯밤 꿈에나타났습니다,1
4428,어제가 생일이었는데.,어젯밤 집 앞에서 잠깐 만났어.,1
4429,어제와 오늘 문득문득 생각에 눈물을 흘립니다.,어젯밤에 헤어진 여자친구 집에 찾아 갔다 왔어.,1
4430,어제전화가왔습니다,어째서,1
4431,어젯밤 꿈을 꿨어,어쩌면 좋을까?,1
4432,어젯밤. 헤어졌던 여자친구에게 전화가 왔어.,어쩔 수 없겠죠,1
4433,어젯밤에 판도라의 상자를 열어버렸네,어찌해야 될까?,1
4434,어째야 할까,어찌해야 할까,0
4435,어쩌죠,억지로 붙여놓은 깨어진 도자기,1
4436,어쩔수 없는,언제가 제이야기 한번 들어줄 날이오겠죠?,1
4437,어찌해야 하나.,언제까지 이렇게 잊지못하고 힘들기만 할까,1
4438,어플로 만난 남자친구 계속 만나는게 맞는걸까?,어플로 만난 남자친구 계속 만날까?,0
4439,어플로 만난 여자친구 계속 연애하는게 맞는걸까?,어플로 만난 여자친구 계속 만나도 될까?,0
4440,억울한 현실,언제쯤 괜찮아지려나,1
4441,억지로 붙였던 깨어진 도자기의 결말,언제쯤 무뎌질까,1
4442,언니가 있으면 뭐가 좋아?,자매가 있으면 좋은 점?,0
4443,언니랑 전쟁 중,언니랑 다퉜어,0
4444,언제 다 고쳐,잘못 쓴 거 엄청 많아,0
4445,언제 사랑 받는구나 느껴?,언제 사랑 받는구나하고 느껴?,0
4446,언제까지 내가 선톡을 해야할까.,언제까지 내가 먼저 카톡 해야 할까.,0
4447,언제까지 덮을 수 있을까?,언제쯤 예쁘게 화장 잘할까,1
4448,언제부터인지.,언제쯤 잊혀질까,1
4449,언제쯤 괜찮아질런지.,언제쯤 편히 잠들수있을까?,1
4450,언제쯤 벗어날 수 있을까,언젠가 나아지겠죠?,1
4451,언제쯤 이 끈을 놓아야할까. 지금일까.?,언젠가 하는 거죠,1
4452,언제쯤 잊혀질런지,언젠간 내 기억 속에서 서서히 지워지겠지.,1
4453,언제쯤이면 여기를 잊을 수 있을까?,언젠간 모두 잊고,1
4454,언젠가 마주치더라도 너만 보일거야.,얼마나 지나야 잊혀지나?,1
4455,언젠가 자기 복제가 될까,자기 복제가 될까,0
4456,언젠가는 끝,얼마전에 욕 이빠이 하고 다 끝냈는데.,1
4457,언젠가는 나를 좋아해 주는 사람 있겠지?,나 좋아해주는 사람 있겠지?,0
4458,언젠간 먼저 연락오겠죠?,업무 스트레스 넘 심해,1
4459,얼굴 너무 까매졌어.,얼굴 너무 탔다,0
4460,얼굴 보니까 떨리더라,오랜만에 보니까 떨리더라,0
4461,얼굴 작은 거 부러워,얼굴 엄청 작은 거 부러워,0
4462,얼굴 평가해 달래,얼평해달라는 사람 어떻게 생각해?,0
4463,얼굴만 아는 민망한 사이가 있어,아예 모르는 것도 아니고 얼굴만 아는 민망한 사이가 있어,0
4464,얼른 아아야 할텐데,건강 빨리 회복해야지,0
4465,얼마나 더 지나야 아물런지,에궁,1
4466,얼마나 행복해질려고 이렇게 힘들지,내년에는 더 행복해질려고 이렇게 힘든가봅니다,0
4467,얼마만큼 사랑을 받으셨나??,에이구 이제 그만 돌아와.,1
4468,얼어 죽는 줄,얼어죽는 줄 알았어,0
4469,얼집 방학이래,어린이집 방학이래,0
4470,엄마 기대 때문에 부담돼,엄마가 나한테 기대가 너무 큰 거 같아서 부담스러워,0
4471,엄마 말씀 잘 들을걸,엄마 말씀 안 들은거 후회돼,0
4472,엄마 미안해,엄마한테 미안해,0
4473,엄마 밥 생각나,엄마 밥 먹고 싶다,0
4474,엄마 보고싶다,엄마는 뭐하나,0
4475,엄마 생각난다,엄마 보고 싶다,0
4476,엄마 힘들게 했어,엄마가 나 때문에 힘든 거 같아,0
4477,엄마가 나만 시켜,엄마가 나만 시켜,0
4478,엄마가 동생한테만 잘해줘.,엄마가 동생이랑 차별해,0
4479,엄마가 선 보라고 하시는데,부모님이 선 보래,0
4480,엄마가 안 왔으면 좋겠어,학부모 총회에 엄마가 안 왔으면 좋겠어,0
4481,엄마가 언니랑 나랑 차별해,엄마가 언니랑 차별해,0
4482,엄마라고 자식방에 막 들어오면 안돼지,엄마가 내 방에 막 들어와,0
4483,엄마랑 둘이 여행가,엄마랑 여행 안 가봤는데,0
4484,엄마아빠 노후가 걱정돼,부모님 노후가 걱정돼,0
4485,엄마아빠랑 다시 같이 살아야돼,에휴,1
4486,엄마한테 또 화냈어,엄마한테 막말했어,0
4487,엄마한테 손 좀 벌려야겠다 ,용돈 달라고 졸라볼까?,0
4488,엄마한테 혼났어,엄마랑 싸웠어,0
4489,엄청 로맨틱해,엄청 로맨틱해,0
4490,엄청 오래 만났어,이렇게 오래 만날 줄 몰랐는데,0
4491,업데이트가 너무 오래 걸려,업데이트가 엄청 느려,0
4492,업무 끝내고 집 갈 수 있을까,업무가 쌓여있어,0
4493,업무 스트레스 넘 심해,넘 많이 먹었다.,1
4494,업무 지적 또 받음,업무 지적을 너무 많이 받아,0
4495,엇갈리는 느낌 싫다,엇갈리지 않았으면 좋겠다,0
4496,엉엉 우는꿈 꿨어,에휴 추억을지우네,1
4497,에라이!!!,에휴.,1
4498,에어 후라이어 사고 싶다.,튀김기 사고 싶다,0
4499,에이 짱나,에이씨,0
4500,에혀 힘드네여,여기 글들을 보니깐,1
4501,에휴 잊기가 힘드네,여러번 재회 그리고 헤어짐,1
4502,에휴 후폭풍인가봐,여섯번째 이별이에요,1
4503,에휴. 왤케 머리속에서 계속 멤돌까,여자가 떠가기전 하는 준비,1
4504,엠티 가는데 짝남이랑 같은 조 됐으면 좋겠다.,엠티 가는데 짝남이랑 같은 조 됐으면 좋겠다.,0
4505,엠티 가는데 짝녀랑 같은 반 되길.,엠티 가는데 짝녀랑 같은 반 되길.,0
4506,엠티 안 가도 돼지?,엠티 꼭 가야해?,0
4507,여기 있으니까 좋다,여기 좋아,0
4508,여기까지 인듯 합니다.,여자들은 바람피고 후회할까?,1
4509,여드름 손으로 짰어,여드름 짰어,0
4510,여러명 좋아하면 안돼?,여러명 좋아하면 안돼?,0
4511,여러분 제가 느낀바입니다,여자친구 같았던 썸녀,1
4512,여르름 또났어,여드름 때매 스트레스받아,0
4513,여름 끝났으면,여름 빨리 지나갔으면,0
4514,여름 휴가 어디가 좋을까,여름 휴가 어디가지?,0
4515,여름에는 냉면만한게 없는 듯,여름에는 냉면이지,0
4516,여름인데 태닝할까,태닝할까,0
4517,여리여리한 여자가 이상형이래,여리여리한 여자가 이상형이래,0
4518,여린 마음에 상처준 건 아닐까?,여린 마음에 상처준 건 아닐까?,0
4519,여사친 좋아하는 내가 짜증남.,여사친 좋아하는 내가 짜증남.,0
4520,여사친이 많은 썸남,여자들이랑 친한 썸남,0
4521,여사친이 여자로 느껴질때 있어?,여자 사람 친구였는데 갑자기 여자로 느껴질 때 있어?,0
4522,여사친이 좋아진 것 같애.,여사친이 좋아졌어.,0
4523,여사친이라 쓰고 짝사랑녀라고 읽는다.,여사친이라 쓰고 짝사랑하는 여자라고 읽는다.,0
4524,여사친이랑 사귀는 거 가능?,여사친이랑 연인 되는거 가능?,0
4525,여사친이랑 연락이 끊기지 않고 너무 잘되는데 그린라이트일까?,여사친이랑 연락이 너무 잘되는데 그린라이트일까?,0
4526,여사친이랑 잘되고 싶다,여사친이랑 잘되고 싶다,0
4527,여사친인데 좋아하는 듯.,여사친인데 좋아하는 듯.,0
4528,여우같은 애한테 당했어,여우한테 당했어,0
4529,여우같은 짓하는 사람 싫어,여우같은 사람 진짜 싫어,0
4530,여유가 너무 없어,마음의 여유가 없어,0
4531,여자 친구랑 연락이 안돼,여자친구랑 전화 안 받네.,0
4532,여자 친구랑 헤어진지 23일째.,여자친구 무시했다가 이별 당했습니다.,1
4533,여자가 남자한테 잘해주면 질려?,여자가 남자한테 너무 잘해주면 오히려 질려하나?,0
4534,여자가 더 사랑해서 한 결혼,여자가 더 사랑해서 한 결혼 어떤가,0
4535,여자가 먼저 고백하는 거 어때?,여자가 먼저 고백하는 거 이상해?,0
4536,여자가 먼저 키스하면 가벼워 보일까?,여자가 먼저 키스하면 가벼워 보일까?,0
4537,여자끼린데 썸 타는 경우도 있나,여자끼린데 썸 타는 경우도 있나,0
4538,여자는 좋아하는 남자랑 눈 마주치면 어때?,여자는 좋아하는 남자랑 눈 마주치면 어때?,0
4539,여자는 한번 마음 먹으면 끝인가?,여자친구가 나 때매 힘들대,1
4540,여자는 호감 없어도 잘해줘?,착한 사람은 호감 없어도 잘해 줘?,0
4541,여자들은 남자가 자기 좋아하는거 눈치 잘 채?,여자들은 보통 남자가 자기 좋아하는거 눈치 잘 채?,0
4542,여자들은 몇 년이고 짝사랑하기도 해?,여자들은 몇 년이고 말안하고 짝사랑하기도 해?,0
4543,여자들은 좋아하는 남자가 자기보다 능력이 좋은 경우에만 좋아하나요?,여자들은 능력이 좋은 경우에만 좋아하나요?,0
4544,여자들은 좋아하는 사람한테는 장난 잘 안 쳐?,여자들은 좋아하면 장난 잘 안 쳐?,0
4545,여자들은 좋아하는 사람한테만 잘해줘?,여자들은 좋아하는 사람한테만 잘해줘?,0
4546,여자들은 좋아하는데도 답장시간이 느릴 수 있나요?,좋아하는데도 답장 느릴 수 있나요?,0
4547,여자들은 직장 내에 좋아하는 남자 생기면 어떡해?,직장 내에 좋아하는 남자 생기면 어떡해?,0
4548,여자들은 착한 남자를 좋아하나요?,여자들은 보통 착한 남자를 좋아하나요?,0
